,gene,decouple_th1,decouple_Th17,decouple_Th2,decouple_Tcm,decouple_Treg
110,PHLPP1,-0.00029650325740825795,-0.0002772222329091474,-0.0010326610123077683,-0.00017596809037203395,-0.0029150884929674045
111,ZFP64,-0.0013396805164837024,,,,
112,LMBRD2,5.2567461357309886e-05,-0.0003619983186908945,-0.0017252335465064682,-0.0010795653520506042,-0.0015765945620159275
113,MTX3,-0.0013542316628288621,-0.0011264484662974463,-0.001479030503021641,-0.0009814299398357837,
114,TTC33,-0.0010609055269089054,-0.00032843328968263415,-0.0010800357319200931,-0.0013693468085018605,0.00107635873050093
115,DENND1B,-0.0006424049704303377,-0.0013593942208960418,-0.001154679196153266,-0.0008787260188160752,-0.0015109940461500958
116,UQCC1,0.0003106661896243104,-0.0016663943146191136,-0.001010792854557378,-0.0008063133915456981,0.0026018448077442385
117,PLEKHA8,-0.0007990759796593673,-0.0009077756790256747,-0.0004384899248702093,-0.00115872177444693,-0.003043593972409003
118,RER1,-0.000217067274558419,-0.001828759263965171,-0.0014117857210860594,-0.0006325691131579322,-0.0009730868279441435
119,IL10RB,-0.0016662902508449377,5.6371890949282605e-05,-0.00028718764068737593,-0.00013559904790105218,
120,LINC01891,-0.0011645107906327517,-0.001021110739532866,-0.000577529711757464,-0.0005185713759272128,-0.0004633372407879619
121,ADK,-0.0009385254613580377,-0.0010841371790013847,-0.0009113754361818978,-0.0006382839195310953,-0.0013430181072968178
122,CYP2E1,,-0.0008213889291948315,,,
123,ELP4,-0.00014259931660567243,-0.0004143821584417376,-0.0008437352878609018,-0.0009363000386139178,5.2358099819939385e-06
124,ZCCHC7,-0.0012981427708020892,-0.0011240331307581005,-0.0013284524983046518,-0.0010015920121153868,-0.001841216361315295
125,SLC35D1,-0.0013205198353635535,-0.0020790959657263682,-0.001668470791651869,9.805654597080243e-05,-0.003337856582462242
126,TTC27,-6.193365230479711e-05,-0.0009934997196116117,-0.0012577199437533645,-0.00025297161210401705,
